CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,209","2,015","1,29,158",10.82,231.10,-114.25,150,230.30,231.35,225,"24,850.00",150,65.60,66.10,375,28.15,66.10,10.23,"9,58,899","6,946","17,960",
,"15,966","13,992","7,55,344",10.61,196.20,-107.70,750,195.20,196.40,300,"24,900.00",150,80.55,81.10,150,34.75,81.00,10.04,"25,14,052","20,617","64,800",
,"19,259","18,642","10,80,350",10.47,164.80,-100.00,525,164.45,164.80,75,"24,950.00",150,99.15,99.70,"1,350",41.25,99.10,9.89,"19,14,657","20,474","31,162",
,"71,138","57,667","22,70,102",10.33,136.20,-91.30,"3,675",136.10,136.90,150,"25,000.00",150,121.10,121.80,450,50.65,121.85,9.87,"29,61,322","17,950","62,146",
,"29,275","26,175","10,62,073",10.24,111.20,-82.80,75,111.20,111.90,150,"25,050.00",150,145.70,146.60,75,59.60,146.60,9.76,"11,62,192",684,"11,740",
,"98,022","72,096","22,38,819",10.24,90.35,-72.75,150,89.80,90.25,75,"25,100.00",150,174.20,175.10,150,69.25,175.20,9.71,"15,74,495","-8,655","26,826",
,"41,114","18,293","9,17,199",10.28,72.95,-62.45,450,72.50,73.00,150,"25,150.00",150,206.55,207.50,300,78.85,206.60,9.63,"4,42,100","-9,610","8,709",
,"1,14,071","39,294","16,77,700",10.27,57.55,-52.55,150,57.90,58.45,150,"25,200.00",150,242.55,243.95,150,91.20,244.25,9.85,"5,47,424","-12,121","33,517",
,"38,799","15,721","7,11,361",10.40,46.10,-42.25,375,46.10,46.50,150,"25,250.00",75,280.00,281.30,150,102.35,283.95,10.06,"90,777","-2,225","5,771",
,"69,739","23,813","11,17,343",10.54,36.80,-32.90,150,36.80,37.15,150,"25,300.00",150,319.90,321.70,150,106.60,320.70,9.71,"1,28,705","-2,968","11,686",
,"27,057","4,635","5,05,834",10.67,29.15,-25.60,300,29.15,29.40,150,"25,350.00",300,362.15,363.95,225,116.10,363.80,9.84,"21,666",-442,"1,867",
,"61,536","16,443","8,97,827",10.82,23.05,-19.60,225,23.05,23.30,450,"25,400.00",150,405.95,407.95,150,122.35,406.70,9.69,"33,365","-1,141","8,448",
,"27,307","13,057","3,87,746",11.01,18.40,-14.90,75,18.40,18.50,150,"25,450.00",75,451.10,453.75,75,129.90,455.40,10.35,"6,829",-1,865,
,"90,529","16,274","9,65,990",11.19,14.60,-10.95,"3,075",14.30,14.60,375,"25,500.00",300,496.55,499.45,300,135.30,501.00,10.28,"24,001",-970,"10,278",
,"21,297","10,685","2,98,034",11.34,11.40,-8.35,75,11.40,11.75,300,"25,550.00",300,543.60,549.10,75,140.80,547.60,10.19,"1,233",-24,730,
,"47,047","16,859","4,88,811",11.58,9.25,-6.00,300,9.20,9.50,"1,350","25,600.00",300,591.30,595.45,75,141.20,593.55,9.38,"3,595",-831,"3,778",
,"18,204","5,986","2,46,941",11.77,7.35,-4.55,375,7.35,7.60,300,"25,650.00",75,638.95,645.55,75,133.10,637.05,-,151,17,305,
,"42,409","15,080","3,93,762",11.96,5.85,-3.50,375,5.85,6.00,525,"25,700.00",300,687.15,691.60,75,140.10,690.00,-,709,16,"1,234",
,"29,694","17,634","2,42,451",12.15,4.65,-2.95,"2,925",4.70,4.95,"41,850","25,750.00",75,735.60,742.90,75,139.00,731.20,-,157,1,467,
,"53,988","20,162","4,29,783",12.55,4.10,-1.95,675,4.10,4.20,225,"25,800.00",150,786.15,791.50,75,139.20,785.10,-,568,43,"1,325",
